target,model,family,n_compare,n_train,cv_r2_mean,cv_r2_std,test_r2,test_rmse,test_mae,test_mape,fit_time_s,predict_us_per_sample
read_margin_mv,elasticnet,linear,15000,42491,0.6104355721713334,0.02377204299482151,0.5576720484475097,26.016034362298477,12.52261620129642,40.13705258707966,23.0155,1.0134
write_efficiency,mlp,neural,15000,42491,0.9880409425216905,0.004424318980585484,0.998758759483925,0.0043091880142631656,0.002679699796337944,0.3280386292565493,40.5615,1.7791
write_efficiency,mlp_deep,neural,15000,42491,0.9930832160095326,0.00226203851271609,0.9985878562945558,0.004596284670804121,0.003022865582226557,0.36742778468134124,80.4975,2.7518
write_efficiency,catboost,boosting,15000,42491,0.9845960711075691,0.0017605625936825597,0.9923793101748001,0.010677377913418992,0.006260512318695576,0.7495489494938257,5.5341,1.5944
write_efficiency,lightgbm,boosting,15000,42491,0.9787874447480626,0.0022825047690018876,0.9900919493940372,0.012174792824340318,0.0066828154629390655,0.8245406692559566,1.4022,5.3534
write_efficiency,hist_gbr,ensemble,15000,42491,0.9780050751928782,0.0022805132357684283,0.9878196506646356,0.013498867785815811,0.007959067132049148,0.969271279332166,2.8348,32.418
write_efficiency,xgboost,boosting,15000,42491,0.9707112857756386,0.0030608847730115383,0.986966301336109,0.013963725717668157,0.007417253620651294,0.9325994915811455,10.2648,9.8028
write_efficiency,gpr,kernel,15000,2000,0.9405482988935978,0.003054838478711459,0.9448987745853138,0.02871098553017878,0.02047229828085689,2.419450173213222,30.495,72.0654
write_efficiency,poly2_ridge,linear,15000,42491,0.9330371090929706,0.0030176080216034124,0.9411719710809365,0.029666042886785513,0.021723015909271177,2.573719304819613,0.3446,3.6632
write_efficiency,svr_rbf,kernel,15000,5000,0.9268243302902951,0.004381100472687686,0.9272380196511688,0.032992841977207,0.024458610382696876,2.9108285876781914,0.3353,74.8271
write_efficiency,random_forest,ensemble,15000,42491,0.8114557665371003,0.007212823857010896,0.8326020711171829,0.050042904906346955,0.029676903160020765,3.7960401978737326,7.8029,17.8688
write_efficiency,extra_trees,ensemble,15000,42491,0.8035230797432247,0.008971481775808976,0.823574032125242,0.05137463222734053,0.03042440541218092,3.90552855150444,3.0201,18.0036
write_efficiency,knn,neighbour,15000,42491,0.7358091566257027,0.005847073880779331,0.7828193936514353,0.05700041167024744,0.03677114290909859,4.861073284694928,0.0834,119.1338
write_efficiency,ridge,linear,15000,42491,0.688350998875688,0.0024278518492229268,0.7016093053915193,0.06681286718480137,0.05356183317973127,6.431863433437675,0.0901,1.065
write_efficiency,elasticnet,linear,15000,42491,0.6849715998201998,0.002234009404239594,0.6987356343936214,0.06713381913137285,0.0535406608474216,6.455329819473208,0.8738,1.1265
